filename,L(m),W(m),xFeed(m),yFeed(m),Gmax_dBi,S11_dB,InputResistance_ohm,InputReactance_ohm
ant_0033.png,2.90E-02,3.53E-02,9.05E-03,4.55E-04,5.4767,-5.4844,21.3687,29.426
ant_0034.png,2.90E-02,3.36E-02,-6.17E-03,9.28E-04,5.2679,-2.6196,14.8421,48.4691
ant_0035.png,2.71E-02,3.76E-02,8.25E-03,-4.14E-04,5.5597,-12.1206,42.5836,22.4014
ant_0036.png,2.63E-02,3.71E-02,-1.70E-03,-1.05E-03,4.0543,-0.7454,7.5616,79.2217
ant_0037.png,2.70E-02,3.38E-02,9.16E-03,5.28E-04,5.5315,-25.3387,55.5297,1.4153
ant_0038.png,2.86E-02,3.75E-02,-9.07E-03,1.06E-03,5.5048,-6.6992,25.6606,28.3464
ant_0039.png,3.05E-02,3.55E-02,4.67E-03,-2.36E-04,4.2651,-0.7959,6.8643,70.4614
ant_0040.png,2.71E-02,4.06E-02,-1.65E-03,-1.08E-03,2.4302,-0.524,6.252,88.5313
ant_0041.png,2.92E-02,3.78E-02,6.61E-03,7.19E-04,5.2008,-2.3452,14.687,53.4357
ant_0042.png,2.87E-02,3.48E-02,-9.14E-03,1.22E-03,5.4956,-7.3638,25.3161,22.9902
ant_0043.png,2.76E-02,3.57E-02,3.68E-03,-1.36E-03,4.99,-1.604,12.9383,66.4711
ant_0044.png,2.69E-02,3.84E-02,-5.91E-03,1.50E-03,5.4525,-5.4088,31.9099,47.4551
ant_0045.png,3.00E-02,3.96E-02,-2.27E-03,-1.40E-03,1.0971,-0.4129,4.8815,88.0506
ant_0046.png,2.87E-02,3.60E-02,2.35E-03,5.05E-04,3.0594,-0.5026,5.1512,79.9142
ant_0047.png,2.84E-02,4.03E-02,5.38E-03,1.99E-04,4.9861,-1.8635,15.3035,67.1421
ant_0048.png,2.70E-02,3.79E-02,-1.80E-03,1.20E-03,3.5142,-0.6233,6.4624,80.4974
ant_0049.png,2.64E-02,3.53E-02,-3.38E-03,1.12E-03,5.2034,-2.424,20.1995,67.2083
ant_0050.png,2.70E-02,3.42E-02,-3.54E-03,1.36E-03,5.1527,-2.1505,16.6136,63.8019
ant_0051.png,2.77E-02,3.57E-02,-2.76E-03,1.55E-05,4.385,-0.8815,8.2193,74.5565
ant_0052.png,3.00E-02,3.82E-02,1.68E-03,1.24E-03,0.1568,-0.3387,3.9084,86.6756
ant_0053.png,2.88E-02,3.43E-02,-9.99E-03,6.76E-04,5.5059,-8.5866,26.3497,16.9601
ant_0054.png,2.60E-02,3.39E-02,1.00E-02,6.22E-04,5.522,-9.6418,96.3914,-14.0169
ant_0055.png,2.97E-02,3.93E-02,5.30E-03,-3.25E-04,4.5795,-1.1809,10.1857,70.2441
ant_0056.png,2.63E-02,3.93E-02,4.25E-03,-1.24E-03,5.2881,-3.0988,26.2672,66.9516
ant_0057.png,2.67E-02,3.76E-02,1.13E-02,7.05E-04,5.592,-16.4886,64.701,-9.0003
ant_0058.png,2.63E-02,3.40E-02,5.24E-03,5.00E-04,5.4493,-6.8177,43.7801,47.56
ant_0059.png,2.67E-02,3.89E-02,1.69E-03,-5.32E-04,3.2361,-0.5951,6.6156,84.4274
ant_0060.png,2.94E-02,3.91E-02,-1.19E-02,7.34E-04,5.5087,-6.6401,24.4063,26.3799
ant_0061.png,3.10E-02,4.00E-02,-3.52E-03,5.91E-04,2.2118,-0.502,5.7551,86.2358
ant_0062.png,2.91E-02,3.94E-02,-9.57E-03,8.57E-04,5.4618,-5.1156,22.938,36.1774
ant_0063.png,2.71E-02,3.64E-02,8.99E-03,-4.52E-05,5.5628,-19.0833,47.2451,10.515
ant_0064.png,2.68E-02,3.93E-02,-2.65E-03,9.71E-05,4.4391,-1.0848,11.3835,80.8225
ant_0065.png,2.65E-02,3.65E-02,1.65E-03,-6.09E-04,3.8486,-0.6663,6.6571,78.4247
ant_0066.png,2.91E-02,4.07E-02,1.16E-02,-2.19E-04,5.5126,-6.2129,25.1012,30.9545
ant_0067.png,2.94E-02,3.43E-02,-1.32E-02,8.18E-04,5.4907,-8.919,24.9321,10.2605
ant_0068.png,2.85E-02,3.92E-02,-9.65E-03,5.44E-04,5.5205,-6.9788,27.7,29.8671
ant_0069.png,2.82E-02,3.69E-02,-8.70E-03,8.04E-04,5.5199,-7.8499,28.4332,25.5136
ant_0070.png,2.96E-02,3.44E-02,-1.73E-03,-2.12E-04,1.0257,-0.314,3.303,81.4163
ant_0071.png,2.94E-02,3.89E-02,9.27E-03,-1.16E-03,5.416,-4.089,19.1364,38.6622
ant_0072.png,2.67E-02,3.42E-02,-1.97E-03,-5.00E-04,4.4065,-0.8412,7.94,75.2408
ant_0073.png,2.76E-02,3.51E-02,6.04E-03,1.57E-04,5.413,-4.6287,24.6764,44.181
ant_0074.png,2.70E-02,3.51E-02,6.00E-03,1.62E-04,5.4662,-6.7265,34.8796,40.6662
ant_0075.png,2.76E-02,3.47E-02,-1.21E-02,-6.73E-04,5.5444,-19.8931,45.5087,-8.607
ant_0076.png,2.81E-02,3.40E-02,1.00E-02,-2.66E-04,5.5281,-13.8987,34.9241,8.3334
ant_0077.png,2.92E-02,3.46E-02,9.43E-03,1.03E-03,5.4762,-5.7764,21.1173,26.1591
ant_0078.png,2.78E-02,3.86E-02,4.06E-03,3.01E-04,4.8637,-1.5197,13.2367,70.4795
ant_0079.png,2.77E-02,3.57E-02,-9.96E-03,1.67E-04,5.5539,-15.9821,38.5987,8.3524
ant_0080.png,2.99E-02,3.67E-02,-9.48E-03,-6.15E-04,5.4236,-4.1501,17.7346,34.2851
ant_0081.png,3.00E-02,3.91E-02,-1.21E-02,5.69E-04,5.4653,-5.1952,21.0188,31.3331
ant_0082.png,2.84E-02,3.51E-02,-5.81E-03,-9.44E-04,5.2974,-2.8676,16.9826,50.4092
ant_0083.png,2.95E-02,4.02E-02,-1.17E-02,1.46E-03,5.4627,-6.1488,25.2829,31.7781
ant_0084.png,2.88E-02,3.86E-02,5.81E-03,-1.17E-03,5.1158,-2.0702,14.4913,59.0313
ant_0085.png,2.87E-02,3.59E-02,-1.02E-02,-9.17E-04,5.5228,-8.4524,26.9133,19.0724
ant_0086.png,3.08E-02,3.94E-02,-1.11E-02,7.94E-04,5.3277,-3.2574,16.1959,41.9164
ant_0087.png,2.72E-02,3.40E-02,1.07E-02,3.86E-04,5.5378,-20.2715,54.3629,-9.1689
ant_0088.png,2.82E-02,3.64E-02,9.70E-03,8.42E-04,5.5482,-10.4873,31.2325,16.1536
ant_0089.png,3.04E-02,3.73E-02,-1.32E-02,-1.31E-03,5.4338,-4.9894,18.2249,26.1164
ant_0090.png,3.05E-02,3.82E-02,-1.34E-02,4.66E-04,5.4437,-4.7291,18.5023,29.7541
ant_0091.png,2.91E-02,3.64E-02,-1.31E-03,-9.19E-04,0.0214,-0.3131,3.3695,82.7039
ant_0092.png,2.98E-02,3.63E-02,1.20E-02,-9.37E-04,5.4913,-6.2905,20.6477,20.1635
ant_0093.png,3.10E-02,3.55E-02,-1.39E-02,-1.17E-03,5.3938,-4.4833,16.5032,26.533
ant_0094.png,2.93E-02,3.48E-02,-5.41E-03,4.48E-04,5.0338,-1.6087,11.1451,58.8377
ant_0095.png,2.80E-02,3.82E-02,6.22E-03,7.51E-04,5.3437,-3.4566,20.8128,50.6953
ant_0096.png,3.02E-02,3.64E-02,1.15E-02,-6.54E-04,5.463,-4.838,17.6491,26.0429
ant_0097.png,2.73E-02,3.69E-02,5.48E-03,-1.39E-03,5.3939,-4.2094,24.7806,48.9236
ant_0098.png,2.88E-02,3.41E-02,-1.26E-02,1.20E-03,5.5096,-11.9047,30.0023,3.7119
ant_0099.png,2.61E-02,3.86E-02,9.78E-03,1.23E-03,5.596,-13.239,77.7442,2.1314
ant_0100.png,2.92E-02,3.45E-02,-2.24E-03,-1.09E-03,2.7256,-0.4314,4.3052,78.4649
ant_0101.png,2.92E-02,4.05E-02,1.04E-02,1.44E-03,5.4514,-5.1089,22.7286,35.8227
ant_0102.png,2.95E-02,4.09E-02,1.02E-02,-8.36E-04,5.4102,-4.1748,20.4971,40.8396
ant_0103.png,2.75E-02,3.86E-02,9.85E-03,7.73E-04,5.5844,-13.678,40.0384,16.1081
ant_0104.png,2.90E-02,3.76E-02,-1.08E-02,6.61E-04,5.5256,-7.4167,25.1647,22.3058
ant_0105.png,2.81E-02,3.51E-02,2.86E-03,7.95E-04,4.2735,-0.7941,7.2921,73.7886
ant_0106.png,2.96E-02,3.36E-02,1.27E-02,-1.23E-03,5.4741,-8.1495,23.275,11.2894
ant_0107.png,2.80E-02,3.87E-02,-9.27E-03,5.36E-04,5.5496,-9.1293,32.913,24.988
ant_0108.png,2.85E-02,3.81E-02,2.15E-03,8.14E-04,2.494,-0.4933,5.3683,83.2689
ant_0109.png,3.09E-02,3.43E-02,-1.85E-03,-8.42E-04,0.41,-0.2967,3.2242,83.2584
ant_0110.png,3.07E-02,3.42E-02,4.64E-03,-5.15E-04,4.3042,-0.7751,6.465,68.7161
ant_0111.png,2.69E-02,3.60E-02,3.82E-03,3.72E-04,5.1828,-2.4188,18.5621,63.1867
ant_0112.png,2.65E-02,3.64E-02,-3.72E-03,1.45E-03,5.237,-2.7068,21.0242,63.4157
ant_0113.png,3.08E-02,3.88E-02,1.07E-02,-1.16E-03,5.3166,-3.0669,14.8441,40.7062
ant_0114.png,2.98E-02,3.83E-02,1.06E-02,1.03E-03,5.4518,-4.5886,18.9563,32.5076
ant_0115.png,2.79E-02,3.91E-02,1.03E-02,1.48E-03,5.5726,-11.5106,35.7853,18.4876
ant_0116.png,2.77E-02,3.97E-02,-1.20E-02,-4.55E-04,5.6015,-17.654,41.8075,8.8825
ant_0117.png,2.94E-02,3.56E-02,5.36E-03,2.58E-04,4.9436,-1.4505,10.5941,61.5678
ant_0118.png,2.94E-02,3.39E-02,-3.83E-03,5.82E-04,4.4202,-0.8414,7.0936,69.2503
ant_0119.png,3.04E-02,3.56E-02,9.72E-03,-1.03E-03,5.3847,-3.2863,14.5701,36.3409
ant_0120.png,2.91E-02,3.62E-02,-1.08E-02,1.09E-03,5.5167,-7.8813,24.7367,18.0107
ant_0121.png,2.95E-02,3.79E-02,1.03E-02,9.42E-04,5.4794,-5.2246,20.4755,29.7615
ant_0122.png,2.66E-02,3.55E-02,-2.83E-03,-4.32E-04,4.9525,-1.539,13.8741,72.2467
ant_0123.png,2.66E-02,4.01E-02,-6.02E-03,-1.45E-03,5.4664,-5.5626,36.1647,50.9005
ant_0124.png,2.78E-02,3.90E-02,1.05E-02,1.23E-03,5.5823,-12.9465,37.7277,15.8971
ant_0125.png,2.63E-02,3.58E-02,2.08E-03,6.34E-04,4.5916,-0.9877,9.6087,76.7698
ant_0126.png,3.06E-02,3.78E-02,6.86E-03,-6.48E-04,4.9345,-1.5052,10.3623,58.5846
ant_0127.png,2.88E-02,4.08E-02,-1.20E-02,-9.59E-05,5.5462,-7.8291,28.8273,26.2633
ant_0128.png,2.89E-02,3.55E-02,1.07E-02,-5.46E-04,5.5233,-8.1807,25.522,17.7758
ant_0129.png,2.67E-02,3.70E-02,1.10E-02,4.99E-04,5.5849,-17.3552,63.3346,-7.7096
ant_0130.png,2.67E-02,3.37E-02,9.13E-03,1.29E-03,5.5263,-17.7742,64.7258,-1.714
ant_0131.png,2.88E-02,3.89E-02,-8.76E-03,4.56E-04,5.4576,-4.8923,22.8587,38.1603
ant_0132.png,2.64E-02,3.65E-02,1.14E-02,-4.51E-05,5.573,-12.1659,75.8922,-17.6349
ant_0133.png,2.84E-02,3.53E-02,1.20E-02,1.65E-04,5.5464,-13.9913,33.8818,4.6638
ant_0134.png,3.00E-02,4.01E-02,5.23E-03,-1.21E-03,4.3567,-1.0559,9.6259,73.2429
ant_0135.png,2.81E-02,3.55E-02,9.55E-03,9.29E-04,5.5382,-10.7039,32.0365,16.5168
ant_0136.png,2.80E-02,3.72E-02,1.17E-02,2.22E-04,5.576,-15.562,36.8203,6.0622
ant_0137.png,2.77E-02,3.69E-02,1.17E-02,-1.42E-03,5.5716,-21.4568,42.2267,-0.63
ant_0138.png,2.95E-02,3.68E-02,9.33E-03,-5.15E-04,5.4515,-4.5016,18.6581,32.6906
ant_0139.png,2.73E-02,3.60E-02,1.03E-02,-3.00E-04,5.5697,-31.4368,47.391,0.0811
ant_0140.png,2.81E-02,3.73E-02,1.22E-02,-2.98E-04,5.5768,-15.9364,36.9092,4.6597
ant_0141.png,3.03E-02,3.45E-02,-1.72E-03,-4.85E-04,0.319,-0.2928,3.1582,82.8294
ant_0142.png,2.76E-02,3.36E-02,-8.64E-03,3.52E-04,5.5172,-14.6708,39.2081,12.6683
ant_0143.png,3.05E-02,4.07E-02,1.34E-02,5.04E-05,5.4102,-4.0734,18.8795,38.2126
ant_0144.png,2.77E-02,3.67E-02,8.59E-03,-1.28E-03,5.5429,-10.2748,34.0423,21.2288
ant_0145.png,2.83E-02,3.97E-02,1.09E-02,1.23E-03,5.5629,-9.7593,32.1928,21.0687
ant_0146.png,3.08E-02,3.49E-02,6.77E-03,1.07E-05,4.9969,-1.4261,9.3596,56.2513
ant_0147.png,2.92E-02,3.96E-02,-9.58E-03,-2.28E-04,5.4532,-4.8189,22.3727,37.9153
ant_0148.png,3.10E-02,3.81E-02,-1.24E-02,5.18E-05,5.3929,-3.7536,16.325,35.2626
ant_0149.png,2.89E-02,3.47E-02,-1.15E-02,9.32E-04,5.5166,-10.0723,27.7369,10.462
ant_0150.png,2.98E-02,3.62E-02,1.06E-02,6.78E-04,5.4717,-5.113,18.7471,26.3236
ant_0151.png,2.80E-02,3.79E-02,-8.60E-03,1.01E-03,5.5259,-8.0018,30.5724,27.8134
ant_0152.png,2.61E-02,3.99E-02,4.53E-03,-9.01E-04,5.352,-3.6507,31.7223,66.9358
ant_0153.png,2.90E-02,3.44E-02,-1.11E-02,-1.22E-03,5.5083,-9.3355,26.5261,12.1969
ant_0154.png,2.68E-02,3.36E-02,1.12E-02,5.42E-05,5.5295,-12.9125,69.5209,-19.1912
ant_0155.png,3.05E-02,3.42E-02,1.35E-02,-9.77E-04,5.4341,-5.6304,18.5017,20.0223
ant_0156.png,2.89E-02,3.35E-02,1.21E-02,1.31E-03,5.5004,-11.1279,28.7587,5.4319
ant_0157.png,2.86E-02,3.55E-02,4.05E-03,7.47E-04,4.7563,-1.1885,9.7782,67.7862
ant_0158.png,2.64E-02,3.84E-02,8.56E-03,2.78E-04,5.5837,-15.0351,59.2449,17.27
ant_0159.png,2.83E-02,4.05E-02,1.03E-02,1.06E-04,5.5519,-7.8686,30.4938,28.4662
ant_0160.png,2.89E-02,3.86E-02,9.63E-03,1.13E-03,5.4987,-5.9333,23.8225,30.7605
ant_0161.png,2.81E-02,3.43E-02,-9.61E-03,9.16E-04,5.5238,-12.2591,33.1801,11.682
ant_0162.png,2.81E-02,3.64E-02,-8.98E-03,-1.20E-03,5.532,-9.4352,30.6276,20.2979
ant_0163.png,2.82E-02,3.54E-02,-3.53E-03,-1.40E-05,4.6725,-1.1012,9.496,70.287
ant_0164.png,2.97E-02,3.53E-02,-9.21E-03,-1.40E-03,5.422,-4.3971,18.3706,33.1096
ant_0165.png,2.71E-02,3.35E-02,-1.86E-03,-8.71E-04,4.0384,-0.6634,6.2522,75.249
ant_0166.png,2.79E-02,3.74E-02,-1.50E-03,-9.76E-04,1.6509,-0.4036,4.3572,82.8491
ant_0167.png,2.95E-02,3.88E-02,-1.11E-02,8.44E-04,5.483,-5.6578,22.1243,29.5698
ant_0168.png,2.83E-02,4.02E-02,4.14E-03,-1.03E-03,4.5342,-1.2146,11.7447,76.2603
ant_0169.png,2.77E-02,3.49E-02,3.35E-03,-1.26E-03,4.8239,-1.2741,10.6379,68.4915
ant_0170.png,2.89E-02,3.55E-02,-2.56E-03,1.30E-03,3.4261,-0.5466,5.352,77.3729
ant_0171.png,3.09E-02,3.96E-02,-1.00E-02,-9.86E-04,5.2305,-2.6538,14.8158,47.745
ant_0172.png,2.60E-02,3.59E-02,1.01E-02,-1.75E-04,5.557,-10.6505,90.5146,-7.989
ant_0173.png,2.75E-02,3.72E-02,1.12E-02,7.38E-04,5.5862,-25.2676,45.2329,2.0625
ant_0174.png,2.93E-02,3.44E-02,-1.02E-02,-9.70E-04,5.4837,-6.5875,22.1002,21.5401
ant_0175.png,2.70E-02,3.85E-02,-1.07E-02,-1.51E-03,5.5919,-30.2227,51.9998,-2.427
ant_0176.png,2.96E-02,3.89E-02,-1.19E-02,2.54E-04,5.5023,-6.1709,23.0947,27.3255
ant_0177.png,2.70E-02,3.49E-02,-6.11E-03,-6.34E-04,5.4713,-7.1531,35.7061,38.7214
ant_0178.png,2.68E-02,3.65E-02,-8.53E-03,-1.19E-03,5.5574,-20.0711,52.4878,9.905
ant_0179.png,2.92E-02,3.36E-02,-1.20E-02,-1.40E-04,5.5006,-9.603,26.1058,8.4592
ant_0180.png,2.90E-02,3.40E-02,-1.13E-02,9.16E-04,5.5049,-10.0008,27.3809,9.8342
ant_0181.png,3.10E-02,3.98E-02,1.05E-02,-8.38E-04,5.2473,-2.5745,13.9073,46.2083
ant_0182.png,3.10E-02,3.81E-02,-1.00E-02,-7.46E-04,5.2886,-2.7421,14.0425,43.5626
ant_0183.png,3.05E-02,4.03E-02,-1.22E-02,2.45E-04,5.3938,-4.0551,19.2969,39.4591
ant_0184.png,2.63E-02,3.89E-02,9.84E-03,1.12E-03,5.6018,-15.5568,69.4631,4.3255
ant_0185.png,3.01E-02,3.59E-02,-1.22E-02,-1.12E-03,5.4627,-5.8491,20.4403,23.7297
ant_0186.png,3.04E-02,4.03E-02,-1.02E-02,1.09E-03,5.287,-3.1627,17.1959,46.1938
ant_0187.png,2.90E-02,4.06E-02,-4.56E-03,1.06E-03,4.3642,-1.1019,10.8161,77.1673
ant_0188.png,2.70E-02,3.68E-02,1.12E-02,-8.61E-04,5.5827,-20.5515,56.877,-7.3338
ant_0189.png,2.76E-02,3.45E-02,-1.05E-02,-9.72E-04,5.5394,-21.2655,42.1262,-1.197
ant_0190.png,2.85E-02,4.03E-02,-8.67E-03,9.82E-04,5.4598,-5.3296,26.1815,40.0498
ant_0191.png,2.83E-02,3.63E-02,9.95E-03,6.15E-04,5.5431,-9.7248,29.3696,16.5778
ant_0192.png,3.05E-02,3.59E-02,-1.33E-02,2.50E-04,5.4517,-5.0219,17.9656,24.966
ant_0193.png,2.81E-02,3.58E-02,5.40E-03,-8.98E-04,5.2673,-2.6318,16.8538,54.2901
ant_0194.png,2.86E-02,3.95E-02,8.87E-03,1.30E-03,5.472,-5.3148,24.2716,36.8871
ant_0195.png,2.70E-02,3.67E-02,8.25E-03,7.74E-04,5.5601,-14.5353,46.1306,17.9326
ant_0196.png,2.89E-02,3.49E-02,1.08E-02,9.90E-04,5.515,-8.6339,25.8644,15.4409
ant_0197.png,3.10E-02,3.86E-02,-1.34E-02,-8.27E-04,5.3812,-3.8097,16.3712,34.6528
ant_0198.png,2.81E-02,3.87E-02,1.14E-02,1.43E-03,5.5796,-13.3197,36.3792,13.0305
ant_0199.png,2.88E-02,4.07E-02,-1.45E-03,2.61E-04,-0.1211,-0.3725,4.8262,93.4719
ant_0200.png,2.88E-02,4.02E-02,1.04E-02,6.83E-04,5.5161,-6.3829,26.1205,31.466
ant_0201.png,2.61E-02,3.95E-02,-3.54E-03,-4.13E-04,5.1482,-2.3327,22.3564,74.3233
ant_0202.png,2.94E-02,3.48E-02,-2.34E-03,-4.82E-04,2.602,-0.4275,4.3764,79.869
ant_0203.png,3.06E-02,3.70E-02,9.94E-03,-2.74E-04,5.375,-3.1675,14.4095,37.648
ant_0204.png,3.04E-02,3.81E-02,1.28E-02,-1.07E-04,5.4605,-4.6953,18.1412,29.1123
ant_0205.png,3.02E-02,4.02E-02,1.05E-02,1.29E-03,5.3375,-3.4251,17.2223,42.3661
ant_0206.png,2.96E-02,3.63E-02,1.29E-02,1.16E-04,5.5075,-7.1542,22.2515,17.0702
ant_0207.png,2.76E-02,3.40E-02,-1.62E-03,-1.34E-03,3.2063,-0.4824,4.7207,77.3773
ant_0208.png,3.08E-02,3.83E-02,-1.42E-03,-1.38E-04,-0.7886,-0.3023,3.6862,89.8993
ant_0209.png,2.67E-02,3.36E-02,9.32E-03,-1.70E-04,5.5246,-16.5844,66.8008,-4.2024
ant_0210.png,2.83E-02,3.39E-02,1.65E-03,-7.01E-04,2.4009,-0.3908,3.9318,78.926
ant_0211.png,2.88E-02,3.92E-02,3.81E-03,1.31E-03,4.2184,-0.9302,8.9712,76.3447
ant_0212.png,2.68E-02,3.88E-02,9.68E-03,-3.32E-04,5.5994,-19.3815,53.398,10.6317
ant_0213.png,2.69E-02,3.82E-02,9.31E-03,1.53E-03,5.5846,-18.58,50.4988,11.9071
ant_0214.png,3.11E-02,3.44E-02,1.39E-03,-1.07E-03,-0.5715,-0.2619,2.8939,84.2229
ant_0215.png,2.81E-02,4.01E-02,-9.89E-03,-1.89E-04,5.5538,-8.7449,32.9032,26.8633
ant_0216.png,3.10E-02,3.44E-02,-1.30E-02,5.28E-04,5.4204,-4.5921,16.4699,25.0796
ant_0217.png,3.11E-02,3.56E-02,5.50E-03,3.16E-04,4.4676,-0.8969,7.2377,66.9469
ant_0218.png,3.07E-02,3.49E-02,-1.07E-02,-9.62E-04,5.4045,-3.8203,15.4828,31.6957
ant_0219.png,3.03E-02,3.81E-02,-1.25E-02,1.38E-03,5.441,-4.7936,18.4441,28.8868
ant_0220.png,2.86E-02,3.91E-02,-1.19E-02,-1.34E-04,5.5693,-9.858,30.4137,17.8124
ant_0221.png,2.92E-02,4.04E-02,1.24E-02,2.68E-04,5.5239,-6.6849,25.5054,28.1658
ant_0222.png,2.68E-02,3.46E-02,-8.99E-03,-2.72E-04,5.5382,-23.0446,57.4734,1.2058
ant_0223.png,2.81E-02,3.64E-02,-9.09E-03,-1.18E-03,5.5345,-9.6693,30.8293,19.451
ant_0224.png,2.77E-02,3.92E-02,5.20E-03,1.02E-03,5.2168,-2.5894,19.1417,61.1841
ant_0225.png,3.03E-02,3.57E-02,-4.38E-03,9.47E-04,4.2131,-0.7769,6.7873,71.1508
ant_0226.png,3.02E-02,3.76E-02,-5.32E-03,-1.31E-04,4.5469,-1.0724,8.7629,67.5051
ant_0227.png,2.87E-02,3.39E-02,1.10E-02,1.32E-03,5.5089,-10.5375,28.4122,9.2044
ant_0228.png,3.08E-02,3.65E-02,-4.57E-03,-8.21E-04,3.9857,-0.7396,6.471,71.2492
ant_0229.png,2.77E-02,3.42E-02,1.12E-02,-4.43E-04,5.5396,-21.7595,43.8654,-4.6114
ant_0230.png,2.78E-02,3.81E-02,-1.12E-02,9.84E-04,5.5821,-15.9079,38.5119,8.4172
ant_0231.png,2.61E-02,3.66E-02,-1.07E-02,7.17E-04,5.5678,-11.4762,81.3607,-16.2352
ant_0232.png,3.06E-02,3.53E-02,-2.60E-03,-6.01E-04,2.0361,-0.3826,4.0287,81.456
ant_0233.png,3.08E-02,3.39E-02,9.95E-03,-9.01E-04,5.3803,-3.2556,13.6853,33.665
ant_0234.png,2.86E-02,4.09E-02,-8.77E-03,-3.35E-04,5.4396,-4.6483,24.0709,42.8946
ant_0235.png,3.09E-02,3.35E-02,-1.27E-02,1.16E-03,5.4085,-4.9607,17.0978,22.8044
ant_0236.png,3.00E-02,3.96E-02,-1.23E-02,-8.77E-04,5.458,-4.9122,20.2181,32.2414
ant_0237.png,2.76E-02,3.78E-02,-9.41E-03,1.10E-03,5.5653,-12.9474,38.2321,16.436
ant_0238.png,2.92E-02,4.09E-02,6.00E-03,-8.21E-04,4.8664,-1.6536,13.6414,67.571
ant_0239.png,2.85E-02,3.65E-02,-1.17E-02,9.38E-04,5.5528,-11.9811,31.1528,8.1445
ant_0240.png,3.04E-02,3.61E-02,1.15E-02,7.01E-04,5.4533,-4.6116,16.9563,26.4723
